# cl_noweight cl_linear cl_neuralnet
1.153475209094725615e-05 9.125769740781722333e-06 9.251725809881350274e-06
1.445757090252044243e-05 1.026479682920428211e-05 1.017877270488173498e-05
1.702587285877499144e-05 1.095223832108326538e-05 1.061008599655403312e-05
1.868902099067983651e-05 1.106378909291798348e-05 1.054874374831687692e-05
1.915760726064902951e-05 1.067738132104770314e-05 1.013320287832043710e-05
1.848137602888042517e-05 9.955222705637338594e-06 9.506535237134456506e-06
1.704754821981392364e-05 9.181106803962388113e-06 8.890946614865745363e-06
1.535632617404345291e-05 8.699589740386571595e-06 8.562864732875794977e-06
1.378271939129891276e-05 8.678769658791959363e-06 8.626587150792153571e-06
1.248129633758926472e-05 8.945047344187206687e-06 8.866375513548678235e-06
1.139253122000487631e-05 9.107057956805441056e-06 8.906484961174099317e-06
1.037227936897192065e-05 8.888249287739029939e-06 8.543368817885897446e-06
9.454140742834768357e-06 8.380580433950761795e-06 7.930985359895130761e-06
8.955527133216471252e-06 7.966435115804929566e-06 7.445377047507184023e-06
9.145345582387935047e-06 7.922403316375818685e-06 7.329992440901955215e-06
9.792673771760996529e-06 8.077810783570389257e-06 7.436310199157906955e-06
1.025248830623483250e-05 7.960056608441536637e-06 7.356681944501794124e-06
1.011170735870251293e-05 7.356451662732744473e-06 6.885381265785601334e-06
9.626010369486713241e-06 6.651312219693514707e-06 6.321972336155646765e-06
9.422281375230034953e-06 6.483687948540222552e-06 6.222176238999700366e-06
9.882143934464852664e-06 7.106872324192056744e-06 6.837776155565809535e-06
1.089695431996553711e-05 8.197614582848655691e-06 7.878270112250600229e-06
1.205268945732487610e-05 9.235853953732424407e-06 8.814204155612082278e-06
1.286454953178357708e-05 9.882809425234294657e-06 9.294465832867684723e-06
1.295548758390033868e-05 9.997580680065290158e-06 9.253149871868780239e-06
1.229488392638779640e-05 9.564893251556755473e-06 8.800433544112164290e-06
1.130679160358702182e-05 8.792570737856054210e-06 8.168808307509576076e-06
1.053551510898207322e-05 8.116511424004282666e-06 7.665789671215955133e-06
1.011675089371550050e-05 7.854120331315451228e-06 7.467002745710849470e-06
9.712765599388649033e-06 7.853593785051990328e-06 7.420200685413551516e-06
9.015040782080382581e-06 7.651330051265211704e-06 7.179011236353870775e-06
8.134727971511871483e-06 6.998264001894087052e-06 6.578880814015786882e-06
7.400373952694034095e-06 6.115887841903432223e-06 5.810298736500919776e-06
6.951258422310545991e-06 5.430525138488751836e-06 5.208729592642490986e-06
6.709759889934261444e-06 5.183108621821863591e-06 4.963512590383994055e-06
6.645342279096850047e-06 5.330658071145314961e-06 5.063105352944840477e-06
6.862673157066547453e-06 5.710802558002734843e-06 5.431491973503767767e-06
7.454585911293014095e-06 6.220726593155139816e-06 6.032403101682970465e-06
8.405515765545394926e-06 6.860923844091088570e-06 6.841445745523534624e-06
9.576055296169935281e-06 7.609421299684604865e-06 7.728276711682047117e-06
1.061348637307216437e-05 8.226036921004826487e-06 8.367433035215549777e-06
1.096402486453901700e-05 8.271046977361182190e-06 8.350194299469149395e-06
1.027572574292412664e-05 7.497751538972035305e-06 7.531665593591312269e-06
8.881063553956980162e-06 6.252179196795357546e-06 6.296856589824456747e-06
