# cl_noweight cl_linear cl_neuralnet
5.435300770816825542e-06 5.459237874501998448e-06 5.345813735827617343e-06
5.407274838887573935e-06 5.434495619062517498e-06 5.372939436250078173e-06
5.781286707005215375e-06 5.788491424222709477e-06 5.791652831594742976e-06
6.218384032025399271e-06 6.258443337577832382e-06 6.321837602619621547e-06
6.466982237854232646e-06 6.544038901917068937e-06 6.584291631864781285e-06
6.590052398248693244e-06 6.637859130747354305e-06 6.581756182548146258e-06
6.622822775494971818e-06 6.605828122744126573e-06 6.484656017615373616e-06
6.636992841356225546e-06 6.579595049275169461e-06 6.433651360883822631e-06
6.734888434595557192e-06 6.678193594753315654e-06 6.500036063667857184e-06
6.681299389048210673e-06 6.658563410041579276e-06 6.469383488584353292e-06
6.210413377904471526e-06 6.225872774503803862e-06 6.068958923851440914e-06
5.629618281540611148e-06 5.647008262694980371e-06 5.521718028742182730e-06
5.442524791230565566e-06 5.433622104125978875e-06 5.333080317911947315e-06
5.609988784365043718e-06 5.602362431159526497e-06 5.556815492291909335e-06
5.662898482084808987e-06 5.692726526726962235e-06 5.704463923722978909e-06
5.397070836150081581e-06 5.442110770968880178e-06 5.446448309077428840e-06
5.134338139287065906e-06 5.155933284448839457e-06 5.110729892565069712e-06
5.167739785465664295e-06 5.184665426735000388e-06 5.126751801338989098e-06
5.298744291364997112e-06 5.346282914460909189e-06 5.301780665337725862e-06
5.300552308225434346e-06 5.357320036459755703e-06 5.304248498168805544e-06
5.354197701230506827e-06 5.378102512131195262e-06 5.338699220900290511e-06
5.655058624822263283e-06 5.645470712057223054e-06 5.649961261689855063e-06
6.074193785335087097e-06 6.054808270883987900e-06 6.018785980453012113e-06
6.276158465108785860e-06 6.265602991849953662e-06 6.109548619418554539e-06
5.996309889672542743e-06 6.010888493713624404e-06 5.825945825552052971e-06
5.500183218426655771e-06 5.546946864436834322e-06 5.451157996042937893e-06
5.362257903423810147e-06 5.430086443877703119e-06 5.402321502982070539e-06
5.434897784080282475e-06 5.506338979235061973e-06 5.484957139666801759e-06
5.098612223678107218e-06 5.170055071670855204e-06 5.153303136821381198e-06
4.553318616114707605e-06 4.643096577644455102e-06 4.647428379725876208e-06
4.434651515798135070e-06 4.548388887917429398e-06 4.570020026562545799e-06
4.640426262091043596e-06 4.737382195810342499e-06 4.744708366546393567e-06
4.782012444386550211e-06 4.829807965042482830e-06 4.796986153847529352e-06
4.933825040922775775e-06 4.962266626447300068e-06 4.927503486366927034e-06
5.247943222430908168e-06 5.283460261365282169e-06 5.290757967898788262e-06
5.617246722530430723e-06 5.628268436905215882e-06 5.640704778803747254e-06
5.809390783935305576e-06 5.768848173931118630e-06 5.740178581471332993e-06
5.639175326492440188e-06 5.571838643203517721e-06 5.516041005646196974e-06
5.263212726346662276e-06 5.210154794417090694e-06 5.141109342526554649e-06
5.075276317462959293e-06 5.051093281544206273e-06 4.963003409866078208e-06
5.150125321703328608e-06 5.127098475965134836e-06 5.030042446286850395e-06
5.281751866669938339e-06 5.221902823319902854e-06 5.121691548966326383e-06
5.375835307452829442e-06 5.289417099308155672e-06 5.183902114960392508e-06
5.353460345489223476e-06 5.283387942443447777e-06 5.195080103685876418e-06
5.115896944472399952e-06 5.075492043725315141e-06 5.035143554677173720e-06
4.871618123756496842e-06 4.847492602105382566e-06 4.870943192166059332e-06
5.077562627366839329e-06 5.058556434532772166e-06 5.146079965552120440e-06
5.871265702568760076e-06 5.848831184950531324e-06 5.962860562329276428e-06
6.728482450752170878e-06 6.706732983587353389e-06 6.788883030139744323e-06
6.924491092390106767e-06 6.914390041196123710e-06 6.956874564485489530e-06
6.355249553441710974e-06 6.339818278264242385e-06 6.385740443320440158e-06
